facility_name,x,y,address
Fox's Pizza Den,-79.774911,40.402206,710 Broadway  Avenue PA 15140
Big Jim's,-79.9496055,40.427118,201 Saline  Street PA 15207
Dave's Tavern,-80.1615915,40.608279,1943 Big Sewickley Creek Road PA 15143
Duke's Upper Deck Cafe,-79.9127415,40.405392,122 W 8th  Avenue PA 15120
Dell's,-79.899048,40.395789,111 Farragut St PA 15120
Big Mike's Tavern,-79.9437195,40.497597,396 Butler Street PA 15223
Kentucky Fried Chicken #73,-79.82442,40.463397,210 Rodi Road PA 15235
DLCC / Hall C Concession (2B05) ,-79.9952445,40.445514,1000 Ft Duquesne Boulevard PA 15222
Acrisure Stadium / 6.13.02-03 Grid Iron Grill #509,-80.01574,40.4467,500 Art Rooney Avenue PA 15212
Burgh's Pizza & Wings,-80.112321,40.357485,533 Washington  Avenue PA 15017
Bistro 19,-80.044614,40.38012,711 Washington  Road PA 15228
Little Nippers II,-79.950879,40.450392,216 Craig  Street PA 15213
Difiore's Ice Cream Delite,-80.0072865,40.431114,120 Shiloh Street PA 15211
Willow Miniature Golf & Ice Cream Shop,-79.765155,40.474791,7834 Saltsburg Rd PA 15239
China City Restaurant,-80.145387,40.443975,6080 Steubenville Pike PA 15136
Subway Sandwiches & Salads,-80.00253,40.440177,3 Market Square PA 15222
La Bella Bean,-80.1126675,40.356963,609 Washington  Avenue PA 15017
Harry's Bar & Grill @ Pittsburgh National Golf Club,-79.879761,40.650606,287 Monier Road PA 15044
Subway Sandwiches & Salads,-80.018145,40.450077,950 Ridge Avenue PA 15212
Christy Park Cones,-79.845606,40.332465,2819 Walnut Street PA 15132
